,"ppl","age"
"1462","person",52
"1463","person",52
"1464","person",62
"1465","person",47
"1466","person",71
"1467","person",50
"1468","person",73
"1469","person",58
"1470","person",82
"1471","person",82
"1472","person",72
"1473","person",64
"1474","person",63
"1475","person",81
"1476","person",65
"1477","person",63
"1478","person",58
"1479","person",68
"1480","person",59
"1481","person",71
"1482","person",71
"1483","person",71
"1484","person",68
"1485","person",71
"1486","person",58
"1487","person",62
"1488","person",72
"1489","person",68
"1490","person",50
"1491","person",79
"1492","person",63
"1493","person",71
"1494","person",74
"1495","person",65
"1496","person",67
"1497","person",65
"1498","person",64
"1499","person",67
"1500","person",57
